"dep","mood_irritat","pat_agitate","se_selfdoub","event_pleas","event_disturb"
-0.00817777923361773,-1.82457000989681,-1.58424555552191,-0.211210154383682,0.731333459368976,-0.738100026529953
-1.49879601563153,-2.06339155048063,-1.8309515772143,-0.317233185951732,0.323184239014031,-1.46322062987983
-1.49958489986519,-2.10542095094327,-1.91553634258385,0.0178876958854834,0.141995863010472,-1.12942391666862
-1.49896711188785,-2.18012094731093,-1.87390304626944,-0.0673366814015322,0.0883513272712631,-1.30359791741419
-1.49975832709079,-1.84362119489044,-1.88953244035149,-0.340163575627132,0.0739295200936146,-0.714117259335612
-1.49913544582982,-2.39843292644312,-2.19534748064735,-0.916490851074678,0.884199730592481,-1.59710480711995
-1.49992906212452,-1.61418792117842,-1.67097344173889,-0.191061449450777,-0.159154765534712,-0.667961497633254
-1.4985884976455,-1.224522766731,-1.26439449704619,0.0809931515503957,-0.448714200640086,-0.262055363134285
-1.49869958520822,-2.14233065714502,-1.87066031893215,-0.212535800686929,0.490338084370675,-1.03651320641679
-1.5001643457166,-2.61970783898091,-2.20656645196427,-0.254097488763034,0.697824063480252,-1.74020758588725
-1.49956349394534,-2.10944889052805,-1.79621287238709,-0.217630374418424,0.362726615150993,-1.51763916901295
-1.49964717678665,-2.03351787834906,-1.82917059303409,-0.142920238409533,0.287812101237752,-1.22060231849475
-1.5005532594922,-1.48000769603182,-1.31710000952024,0.0622916564011142,-0.152639122145714,-0.623510793598167
-1.49836938813219,-1.49496744151422,-1.20228202463909,0.133049841719741,-0.0489435180247139,-0.662885181574757
-1.5024537470663,-1.56728312571379,-1.60514835252301,-0.331750398557739,0.0852513926997962,-0.745512190755319
-1.50045603018226,-0.89598081535875,-0.907893968531281,0.308101232219996,-0.469640613882763,0.0562324955990698
-1.49947003056452,-1.00822786796825,-0.983943641845826,0.350814823532214,-0.550015166758731,-0.293666397167144
-1.49957167644565,-1.92513205678022,-1.65847198983417,-0.0928909736600558,0.389777495115452,-1.05314210783522
-1.50095559484257,-2.09876229725044,-1.64303929270577,0.159243762068617,0.31586191259234,-1.21161319142944
